Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T021_001,ACS15_5yr_B08015001,ACS15_5yr_B08015002,ACS15_5yr_B08015003,ACS15_5yr_B08015001s,ACS15_5yr_B08015002s,ACS15_5yr_B08015003s
6037119310,14000US06037119310,"Census Tract 1193.10, Los Angeles County, California","Census Tract 1193.10, Los Angeles County, California",ca,140,0,ACSSF,4005,,,,,6,37,,,,119310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3877,3.29,1285,725,560,135.7575758,90.3030303,64.24242424
6037119320,14000US06037119320,"Census Tract 1193.20, Los Angeles County, California","Census Tract 1193.20, Los Angeles County, California",ca,140,0,ACSSF,4006,,,,,6,37,,,,119320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4844,4.23,1285,755,530,98.18181818,95.75757576,64.84848485
6037119340,14000US06037119340,"Census Tract 1193.40, Los Angeles County, California","Census Tract 1193.40, Los Angeles County, California",ca,140,0,ACSSF,4007,,,,,6,37,,,,119340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3763,4.01,965,590,380,85.45454545,64.84848485,51.51515152
6037119341,14000US06037119341,"Census Tract 1193.41, Los Angeles County, California","Census Tract 1193.41, Los Angeles County, California",ca,140,0,ACSSF,4008,,,,,6,37,,,,119341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2785,3.64,1010,505,505,80,51.51515152,55.75757576
6037119342,14000US06037119342,"Census Tract 1193.42, Los Angeles County, California","Census Tract 1193.42, Los Angeles County, California",ca,140,0,ACSSF,4009,,,,,6,37,,,,119342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,4.58,1085,575,510,83.63636364,46.66666667,73.93939394
6037119400,14000US06037119400,"Census Tract 1194, Los Angeles County, California","Census Tract 1194, Los Angeles County, California",ca,140,0,ACSSF,4010,,,,,6,37,,,,119400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5486,5.02,2120,1300,820,149.0909091,113.3333333,89.6969697
6037119700,14000US06037119700,"Census Tract 1197, Los Angeles County, California","Census Tract 1197, Los Angeles County, California",ca,140,0,ACSSF,4011,,,,,6,37,,,,119700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774,3.77,1905,1035,870,149.6969697,104.8484848,92.72727273
6037119800,14000US06037119800,"Census Tract 1198, Los Angeles County, California","Census Tract 1198, Los Angeles County, California",ca,140,0,ACSSF,4012,,,,,6,37,,,,119800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6479,4.65,2560,1450,1110,184.2424242,145.4545455,109.6969697
6037119900,14000US06037119900,"Census Tract 1199, Los Angeles County, California","Census Tract 1199, Los Angeles County, California",ca,140,0,ACSSF,4013,,,,,6,37,,,,119900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,4.36,1905,960,945,119.3939394,86.66666667,93.33333333
6037120010,14000US06037120010,"Census Tract 1200.10, Los Angeles County, California","Census Tract 1200.10, Los Angeles County, California",ca,140,0,ACSSF,4014,,,,,6,37,,,,120010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789,4.11,1005,560,445,95.15151515,60,58.18181818
