Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T057_001
6037543322,14000US06037543322,"Census Tract 5433.22, Los Angeles County, California","Census Tract 5433.22, Los Angeles County, California",ca,140,0,ACSSF,5573,,,,,6,37,,,,543322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392,6392,8428.935,0.758340193,0.7583402,0.7583402,0,66952
6037543400,14000US06037543400,"Census Tract 5434, Los Angeles County, California","Census Tract 5434, Los Angeles County, California",ca,140,0,ACSSF,5574,,,,,6,37,,,,543400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4265,4265,3776.66,1.129304846,1.198967,1.129305,0.06966171,75375
6037543501,14000US06037543501,"Census Tract 5435.01, Los Angeles County, California","Census Tract 5435.01, Los Angeles County, California",ca,140,0,ACSSF,5575,,,,,6,37,,,,543501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6842,6842,6657.714,1.027680051,1.030092,1.02768,0.002411594,64672
6037543502,14000US06037543502,"Census Tract 5435.02, Los Angeles County, California","Census Tract 5435.02, Los Angeles County, California",ca,140,0,ACSSF,5576,,,,,6,37,,,,543502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3931,3931,9241.1,0.42538228,0.4335626,0.4253823,0.008180346,58773
6037543503,14000US06037543503,"Census Tract 5435.03, Los Angeles County, California","Census Tract 5435.03, Los Angeles County, California",ca,140,0,ACSSF,5577,,,,,6,37,,,,543503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471,5471,8519.519,0.642172473,0.6468548,0.6421725,0.004682261,67500
6037543601,14000US06037543601,"Census Tract 5436.01, Los Angeles County, California","Census Tract 5436.01, Los Angeles County, California",ca,140,0,ACSSF,5578,,,,,6,37,,,,543601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4194,4194,16716.44,0.250890738,0.2508907,0.2508907,0,78750
6037543602,14000US06037543602,"Census Tract 5436.02, Los Angeles County, California","Census Tract 5436.02, Los Angeles County, California",ca,140,0,ACSSF,5579,,,,,6,37,,,,543602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7733,7733,12318.22,0.627769318,0.6277693,0.6277693,0,59330
6037543603,14000US06037543603,"Census Tract 5436.03, Los Angeles County, California","Census Tract 5436.03, Los Angeles County, California",ca,140,0,ACSSF,5580,,,,,6,37,,,,543603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3631,3631,6362.948,0.570647432,0.5706474,0.5706474,0,62134
6037543604,14000US06037543604,"Census Tract 5436.04, Los Angeles County, California","Census Tract 5436.04, Los Angeles County, California",ca,140,0,ACSSF,5581,,,,,6,37,,,,543604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5907,5907,5875.979,1.005279175,1.014636,1.005279,0.0093568,91027
6037543701,14000US06037543701,"Census Tract 5437.01, Los Angeles County, California","Census Tract 5437.01, Los Angeles County, California",ca,140,0,ACSSF,5582,,,,,6,37,,,,543701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,2940,11982.57,0.245356349,0.2453564,0.2453564,0,71528
